seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,27,grating_L,50,100,9645.69,9806.68,-2.0,0.0,3.0,9.0,1.0,6.0,-4.0,3.0,-0.125,10.625,-3.0,25.5,0.5,10.0,-0.5,1.0,-3.5,26.0,5.0,-1.5,0.5
2026,28,bright_R,50,100,5234.82,9770.58,0.5,0.5,-4.0,5.0,-3.0,3.0,-5.0,1.0,-4.75,5.75,-10.25,13.25,-6.0,4.0,0.25,0.75,-13.0,13.5,-4.5,-4.0,0.25
2026,29,disc,50,100,9692.99,9152.5,2.0,2.0,4.0,8.0,4.5,7.5,-0.5,3.5,1.625,10.875,3.0,25.5,3.25,8.75,1.0,1.0,4.5,27.5,2.0,2.0,4.5
2026,30,grey,50,100,10171.1,9909.4,0.0,1.0,0.5,7.5,2.0,5.0,2.0,6.0,-0.125,12.375,2.25,27.25,4.25,13.25,1.5,2.0,-4.75,26.75,0.5,2.0,4.25
2026,31,grating_L,50,100,9459.02,9734.0,-0.5,0.5,1.0,7.0,0.5,4.5,-1.5,4.5,-0.375,10.125,0.75,27.25,-2.25,8.75,-0.25,1.75,-0.25,26.75,1.5,-0.5,0.75
2026,32,grey,50,100,10031.88,9865.0,0.0,1.0,1.5,10.5,0.5,6.5,1.5,5.5,1.375,12.375,-4.25,27.25,-1.0,9.0,0.5,0.5,-1.5,30.0,1.5,1.0,1.375
2026,33,grating_R,50,100,9161.12,9970.78,1.5,1.5,1.5,6.5,-5.5,4.5,-1.0,4.0,-1.125,10.625,-8.0,23.0,-4.0,8.5,-0.25,0.75,0.0,27.5,0.0,-3.25,0.0
2026,34,grey,50,100,10261.43,9706.6,0.5,0.5,-5.5,5.5,1.5,6.5,-0.5,2.5,1.875,12.875,1.5,29.5,3.75,12.75,-0.25,0.25,4.5,32.0,-6.0,0.5,4.5
2026,35,loom,50,100,10040.65,10139.6,1.5,1.5,-0.5,6.5,1.0,7.0,-1.0,4.0,1.125,12.375,0.0,28.5,0.0,11.5,0.0,0.5,-1.25,29.75,-2.0,0.0,1.125
2026,36,grey,50,100,10060.17,10578.7,0.5,1.5,-2.5,6.5,-3.5,4.5,1.0,3.0,-2.25,11.0,-4.25,28.75,-7.0,10.0,0.0,0.5,1.25,29.75,-3.0,-1.25,1.25
